layer,ProjectNum,ProjectID,Name,BondAmount,AmountPaid,District,Category,Status,longitude,latitude
Active Bond Program,1013099,TW17VD69,Loganwood 3602,256000,1366501.88,05,Storm Drainage,Awarded for Construction,-96.6918966582085,32.7691724176527
Active Bond Program,1013101,TW17VD71,Hatfield Branch @ Seagoville Channel improvements,487000,400298.16,05,Storm Drainage,Awarded for Construction,-96.660116307541,32.7094952808741
Active Bond Program,1013102,TW17VD72,Lake June @ St. Augustine,721000,262324.38,05,Storm Drainage,Design Completed,-96.6569537626423,32.7361919510919
Active Bond Program,1013103,TW17VD62,Abshire Lane,945000,607312.47,07,Storm Drainage,Awarded for Construction,-96.6821261670605,32.809974203565
Active Bond Program,1013105,TW17VD63,Nandina - Pine Trail Area,910000,173560.76,08,Storm Drainage,Under Design,-96.7724029931745,32.660684032209
Active Bond Program,1013106,TW17VD74,"Hollow Ridge, 4804",350000,452512.14,07,Storm Drainage,Awarded for Construction,-96.7103627458226,32.7814313155541
Active Bond Program,1013114,PK17VB32,Klyde Warren Park Improvements (Match) (Amendment - 8/9/17),10000000,0,14,,Under Design,-96.8015838931858,32.7893948589874
Active Bond Program,1013122,EC17VI02,Red Bird Mall Redevelopment-Mayor,0,2500000,08,Economic Development,Under Construction,-96.8773488363756,32.6594218357601
Active Bond Program,1013124,EC17VI03,Red Bird Mall Redevelopment-CD03,0,3000000,03,Economic Development,Under Design,-96.8773488363756,32.6594218357601
Active Bond Program,1013125,EC17VI04,Red Bird Mall Redevelopment-CD08,0,4131414,08,Economic Development,Under Construction,-96.8773488363756,32.6594218357601
Active Bond Program,1013148,PB17VA32,Critical Bridges- Marsh Lane over Furneaux Creek Bridge Repair,0,11988.85,12,Bridge Repair and Modification,Under Design,-96.8572810002215,33.0060969995836
Active Bond Program,1013149,PB17VA33,Critical Bridges- Camp Wisdom Road over Ricketts Creek Bridge Repair,0,51881.5,"03,08",Bridge Repair and Modification,Under Construction,-96.8141809998368,32.662392000109
