GEOID,population,median_income,pct_black,pct_hispanic,pct_nonwhite,south_of_i30,vendor_cap_5mi,vendor_cap_15mi,vendor_share_5mi,vendor_share_15mi
48113000706,2249,130206,2.0,15.6,17.6,0,263226780.87999997,832422563.6499999,0.18014361798859496,0.5696822025856645
48113001901,3817,120022,2.8,13.5,16.3,0,291786445.94,854372634.03,0.1996888989636197,0.5847040976988374
48113001801,2568,83555,5.8,10.4,16.2,0,291786445.94,854379794.03,0.1996888989636197,0.5847089977637187
48113000703,3075,116250,8.9,8.3,17.200000000000003,0,289950131.22999996,827311755.7099999,0.1984321865025275,0.5661845363144801
48113001802,3078,112782,3.5,10.4,13.9,0,291786445.94,854379794.03,0.1996888989636197,0.5847089977637187
48113000610,2326,47210,4.1,71.9,76.0,0,285547661.01000005,804687554.7,0.19541928291093064,0.5507012887117196
48113000407,2235,58934,7.7,68.6,76.3,0,287383975.71999997,804837382.5699999,0.19667599537202277,0.5508038259022253
48113000408,2408,71723,14.1,26.6,40.7,0,287439856.0,804701010.39,0.19671423796945062,0.5507104973365831
48113016533,3287,97705,32.2,41.3,73.5,1,2209975.29,637807737.76,0.0015124332830992848,0.43649431519502846
48113016535,3132,70022,30.7,35.2,65.9,1,2209975.29,630434105.96,0.0015124332830992848,0.4314480478443925
48113003103,2460,76103,27.6,13.6,41.2,1,287248266.78999996,852750086.3799999,0.19658312071253017,0.5835936802745436
48113010809,5323,41053,24.2,64.8,89.0,1,31839685.589999996,692055501.35,0.021790017484644673,0.4736196729121356
48113006701,4622,54505,0.2,96.6,96.8,1,55637054.46,824899081.4900001,0.03807614199112222,0.5645333826531179
48113014149,3715,99763,9.0,7.1,16.1,0,118792313.44999999,734118896.5799999,0.08129749208107336,0.5024064558385689
48113007916,1366,96976,16.8,14.1,30.9,0,38135895.64,688625926.98,0.02609893337166539,0.4712725867489902
48113013631,1958,53887,27.1,56.7,83.80000000000001,0,151476544.63,739683464.53,0.10366548836267134,0.5062146603066142
48113013107,4435,50823,27.5,32.6,60.1,0,137193132.11999997,691577820.66,0.09389039785640567,0.47329276420074906
48113019049,4294,59451,13.3,48.7,62.0,0,19534538.150000002,559213632.1800001,0.013368785525214054,0.38270713410188095
48113980200,1400,6311,3.1,11.7,14.8,0,149898050.96999997,568061835.76,0.1025852200178858,0.38876254913325453
48113018150,3980,104500,19.6,28.4,48.0,0,5921998.3,122619621.95,0.004052817862672746,0.08391677419987426
48113016708,5558,117539,89.8,9.9,99.7,1,34564508.39,528895881.74,0.023654795209497783,0.36195867820663247
48113020800,7507,35577,50.6,40.1,90.7,1,190165301.52,778894270.3800001,0.13014278151022177,0.5330492263277955
48113000802,3228,79415,12.7,40.0,52.7,0,262161896.32999995,819040278.6599998,0.17941484656596143,0.5605238136596072
48113001602,2896,130070,26.9,16.1,43.0,0,291786445.94,853578621.3599999,0.1996888989636197,0.5841607019447108
48113020401,2675,70932,26.7,20.0,46.7,0,259352211.89,852750086.3799999,0.1774919923687717,0.5835936802745436
48113015207,3003,67738,11.3,51.2,62.5,0,40669677.61,691192519.42,0.027832969132556125,0.47302907689979495
48113015102,2841,54536,1.2,83.2,84.4,0,137478552.2,707718624.1399999,0.09408572982713412,0.4843389910565781
48113015001,5062,74273,7.4,78.5,85.9,0,70363736.38,704948342.12,0.04815459127795767,0.48244310255973466
48113014143,4205,122011,3.2,14.1,17.3,0,155560005.03,775683131.44,0.1064600722872626,0.5308516300779694
48113010906,3479,58680,52.3,46.4,98.7,1,508603.62,549913784.64,0.00034807133196171667,0.37634262902759796
48113002002,2915,46291,4.8,83.8,88.6,1,249893456.07999998,847823172.9699999,0.17101873578147622,0.5802218652782628
48113000607,1772,115972,2.3,14.8,17.1,0,285603541.29,804820575.66,0.19545752550835843,0.5507923238143129
48113016203,2314,46823,22.6,65.2,87.80000000000001,1,5565702.770000001,464550870.47,0.0038089811009542488,0.31792310138977736
